Doctor,ClinicName,Address,City,Country,Specialty,SubSpecialty,Quote(EUR)
Dr John Smith,Vision Care,404 Birch Ave,Warsaw,Poland,Ophthalmology,Pediatric Ophthalmology,591
Dr John Smith,MultiSpecialty Clinic,505 Spruce Blvd,Budapest,Hungary,Other,General Surgery,5040
Dr John Smith,MultiSpecialty Clinic,505 Spruce Blvd,Budapest,Hungary,Other,Internal Medicine,2764
Dr John Smith,MultiSpecialty Clinic,505 Spruce Blvd,Budapest,Hungary,Other,Emergency Care,2641
Dr John Smith,MultiSpecialty Clinic,505 Spruce Blvd,Budapest,Hungary,Other,Family Medicine,6373
Dr John Smith,MultiSpecialty Clinic,505 Spruce Blvd,Budapest,Hungary,Other,Diagnostics,9298
Dr John Smith,Orthopedic Institute,606 Fir St,Riga,Latvia,Orthopedics,Arthroscopy,8927
Dr John Smith,Orthopedic Institute,606 Fir St,Riga,Latvia,Orthopedics,Foot and ankle surgery,712
Dr John Smith,Orthopedic Institute,606 Fir St,Riga,Latvia,Orthopedics,Hip replacement surgery,1129
Dr John Smith,Orthopedic Institute,606 Fir St,Riga,Latvia,Orthopedics,Joint fusion,2364
Dr John Smith,Orthopedic Institute,606 Fir St,Riga,Latvia,Orthopedics,Knee replacement surgery,1537
Dr John Smith,Women's Wellness,707 Oak Rd,Kaunas,Lithuania,Gynecology,Prenatal Care,1595
Dr John Smith,Women's Wellness,707 Oak Rd,Kaunas,Lithuania,Gynecology,Fertility Treatment,4087
Dr John Smith,Women's Wellness,707 Oak Rd,Kaunas,Lithuania,Gynecology,Menopause Management,7416
Dr John Smith,Women's Wellness,707 Oak Rd,Kaunas,Lithuania,Gynecology,Pelvic Floor Therapy,2092
Dr John Smith,Women's Wellness,707 Oak Rd,Kaunas,Lithuania,Gynecology,Gynecologic Surgery,231
Dr John Smith,Eye Surgery Center,808 Pine Ave,Cluj-Napoca,Romania,Ophthalmology,Cataract Surgery,9715
Dr John Smith,Eye Surgery Center,808 Pine Ave,Cluj-Napoca,Romania,Ophthalmology,Glaucoma Treatment,6850
Dr John Smith,Eye Surgery Center,808 Pine Ave,Cluj-Napoca,Romania,Ophthalmology,Refractive Surgery,6762
Dr John Smith,Eye Surgery Center,808 Pine Ave,Cluj-Napoca,Romania,Ophthalmology,Retina Services,9535
Dr John Smith,Eye Surgery Center,808 Pine Ave,Cluj-Napoca,Romania,Ophthalmology,Pediatric Ophthalmology,2422
Dr John Smith,Family Practice,909 Elm Dr,Lyon,France,Other,General Surgery,1712
Dr John Smith,Family Practice,909 Elm Dr,Lyon,France,Other,Internal Medicine,2610
Dr John Smith,Family Practice,909 Elm Dr,Lyon,France,Other,Emergency Care,4198
Dr John Smith,Family Practice,909 Elm Dr,Lyon,France,Other,Family Medicine,8996
Dr John Smith,Family Practice,909 Elm Dr,Lyon,France,Other,Diagnostics,9341
Dr John Smith,Joint Specialists,1010 Maple Ln,Madrid,Spain,Orthopedics,Arthroscopy,5580
Dr John Smith,Joint Specialists,1010 Maple Ln,Madrid,Spain,Orthopedics,Foot and ankle surgery,748
Dr John Smith,Joint Specialists,1010 Maple Ln,Madrid,Spain,Orthopedics,Hip replacement surgery,512
Dr John Smith,Joint Specialists,1010 Maple Ln,Madrid,Spain,Orthopedics,Joint fusion,3632
Dr John Smith,Joint Specialists,1010 Maple Ln,Madrid,Spain,Orthopedics,Knee replacement surgery,6935
Dr John Smith,OB/GYN Associates,1111 Cedar St,Ankara,Turkey,Gynecology,Prenatal Care,5613
Dr John Smith,OB/GYN Associates,1111 Cedar St,Ankara,Turkey,Gynecology,Fertility Treatment,6484
Dr John Smith,OB/GYN Associates,1111 Cedar St,Ankara,Turkey,Gynecology,Menopause Management,677
Dr John Smith,OB/GYN Associates,1111 Cedar St,Ankara,Turkey,Gynecology,Pelvic Floor Therapy,1984
Dr John Smith,OB/GYN Associates,1111 Cedar St,Ankara,Turkey,Gynecology,Gynecologic Surgery,3829
Dr John Smith,Laser Eye Center,1212 Birch Rd,Krakow,Poland,Ophthalmology,Cataract Surgery,6951
Dr John Smith,Laser Eye Center,1212 Birch Rd,Krakow,Poland,Ophthalmology,Glaucoma Treatment,5067
Dr John Smith,Laser Eye Center,1212 Birch Rd,Krakow,Poland,Ophthalmology,Refractive Surgery,6318
Dr John Smith,Laser Eye Center,1212 Birch Rd,Krakow,Poland,Ophthalmology,Retina Services,7836
Dr John Smith,Laser Eye Center,1212 Birch Rd,Krakow,Poland,Ophthalmology,Pediatric Ophthalmology,7176
Dr John Smith,General Care Clinic,1313 Spruce Ave,Debrecen,Hungary,Other,General Surgery,2267
Dr John Smith,General Care Clinic,1313 Spruce Ave,Debrecen,Hungary,Other,Internal Medicine,3960
Dr John Smith,General Care Clinic,1313 Spruce Ave,Debrecen,Hungary,Other,Emergency Care,812
Dr John Smith,General Care Clinic,1313 Spruce Ave,Debrecen,Hungary,Other,Family Medicine,2693
Dr John Smith,General Care Clinic,1313 Spruce Ave,Debrecen,Hungary,Other,Diagnostics,8213
